Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C24, C25",0402,3,1uF,
"C10, C11, C14, C15, C18, C19, C22, C23, C44, C45, C46, C48",0805,12,1uF,
"C100, C101, C102, C103, C70, C71, C72, C73",CP_Elec_4x5.8,8,47 uF,
"C104, C105, C54, C55, C62, C63, C74, C75, C86, C87, C92, C93",0603,12,200pF,
"C106, C107, C108, C109, C58, C59, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85",0603,16,0.1uF,
"C12, C16, C20, C3",0805,4,0.47uF,
"C13, C17, C21, C4",CP_Elec_4x5.8,4,22uF,
C2,0402,1,0.1uF,
"C29, C30",0603,2,1200pF,
"C34, C36",0603,2,120pF,
"C41, C42, C9",CP_Elec_4x5.8,3,10uF,
"C56, C57, C60, C61, C88, C89, C90, C91",0603,8,470pF,
"C64, C67, C94, C97",CP_Elec_4x5.8,4,47uF,
"C65, C66, C68, C69, C95, C96, C98, C99",0603,8,22uF,
C7,0402,1,0.01uF,
C8,0402,1,0.001uF,
"D1, D10, D11, D2, D3, D4, D5, D6, D8, D9",0402,10,LED,
"DZ1, DZ10, DZ11, DZ12, DZ13, DZ14, DZ15, DZ16, DZ2, DZ3, DZ4, DZ5, DZ6, DZ7, DZ8, DZ9",D_SMB,16,10V,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole_M3,
"IC1, IC5, IC7, IC9",SOT230P700X180-4N,4,LM2940IMPX-10_NOPB,
"IC10, IC4, IC6, IC8",XC6902NA01PRG,4,XC6902NA01PR-G,
IC3,SOT95P280X145-5N,1,TPS73250DBVR,
J1,ACJSNV353,1,Line Out (Left),
"J10, J3, J4, J9",Jack_XLR-6.35mm_Neutrik_NCJ6FA-V_Vertical,4,XLR3_AudioJack3_Combo,
J11,SHDR20W64P254_2X10_2794X910X880P,1,SBH11-PBPC-D10-ST-BK,
"J12, J18",PinHeader_1x02_P2.54mm_Vertical,2,PINHD_1x2_Male,
J16,PinHeader_1x05_P2.54mm_Vertical,1,PINHD_1x5_Male,
J17,PinHeader_1x03_P2.54mm_Vertical,1,PINHD_1x3_Male,
J2,ACJSNV353,1,Headphone Out,
"J20, J5, J6, J7",ACJMMV2,4,ACJM-MV-2,
J21,ACJSNV353,1,Line Out (Right),
J8,PinSocket_1x05_P2.54mm_Vertical,1,PINHD_1x5_Female,
"R1, R12, R13, R15, R16, R19, R2, R20, R22",0805,9,0,
"R10, R14, R3, R34, R4, R5, R58, R59, R6, R60, R61, R62, R63, R7, R70, R71, R8, R84, R85, R86, R87, R9",0805,22,2.2k,
"R167, R168, R169, R170",0805,4,3k,
"R17, R18",0805,2,8.2k,
"R23, R24, R55, R57, R68, R69",0805,6,1k,
"R25, R26",0805,2,15k,
"R27, R28",0805,2,100,
"R29, R30",0805,2,20k,
"R31, R32, R33",0805,3,82k,
"R44, R45, R46, R47, R74, R75, R76, R77",0805,8,5.1k,
"R48, R49, R66, R67",0805,4,1M,
"R50, R51, R52, R53, R78, R79, R80, R81",0805,8,10k,
"R54, R56, R82, R83",0805,4,47,
"R64, R65, R88, R89",0805,4,1.1k,
"U10, U15, U18",SOIC127P600X175-8N,3,OPA2134,
U11,HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm,1,TPA6110A2DGN,
"U16, U17, U19, U20",SOIC127P600X175-8N,4,SSM2019BRNZ,
"U34, U35",SO-8_3.9x4.9mm_P1.27mm,2,NE5532AD,
